Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
14-06-2019,437.7,460.6,432.6,443.35,449.56,49487,1773,22247145,16363,33.07,28,5.65
13-06-2019,448.6,449.45,414.2,435.85,431.18,53692,2169,23150975,8870,16.52,35.25,-12.75
12-06-2019,445,452.05,437.5,443.1,446.65,34748,1336,15520313,12412,35.72,14.55,-1.9
11-06-2019,464,464,440.55,444.95,446.62,48165,1895,21511404,17188,35.69,23.45,-19.05
10-06-2019,512,518.65,434.2,459.05,464.74,120832,4798,56155019,25216,20.87,84.45,-52.95
07-06-2019,500,518,497.8,498.7,506.38,43447,1513,22000771,15148,34.87,20.2,-1.3
06-06-2019,530,540,524,524,524.69,8914,209,4677080,8658,97.13,16,-6
04-06-2019,592,592,551.55,551.55,566.78,55584,1808,31504036,18585,33.44,40.45,-40.45
03-06-2019,583.85,589.1,569,580.55,580.91,29882,1201,17358829,7790,26.07,20.1,-3.3
31-05-2019,607.8,607.8,576.85,579.8,585.73,19764,765,11576331,7274,36.8,30.95,-28
30-05-2019,599,606,594.15,598.75,598.26,14441,496,8639470,3934,27.24,11.85,-0.25
29-05-2019,603.15,609.9,592.6,597.75,600.6,20380,717,12240128,6178,30.31,17.3,-5.4
28-05-2019,619,619,584,603.15,596.99,46183,1661,27570640,10988,23.79,35,-15.85
27-05-2019,627,631.5,612,614.25,621.59,50279,1512,31252746,17485,34.78,19.5,-12.75
24-05-2019,602,615.45,595,615.45,612.05,78767,1950,48209492,25536,32.42,20.45,13.45
23-05-2019,595.5,597.35,576.2,586.15,590.5,120061,3071,70896428,41128,34.26,21.15,-9.35
22-05-2019,563,570.4,552.05,568.95,565.47,60219,1806,34051797,22840,37.93,18.35,5.95
21-05-2019,543.25,543.25,543.25,543.25,543.25,8209,140,4459539,3928,47.85,0,0
20-05-2019,517.4,517.4,517.4,517.4,517.4,1419,63,734190,1419,100,0,0
17-05-2019,472.9,495.1,469.8,492.8,487.53,22043,906,10746662,7449,33.79,25.3,19.9
16-05-2019,478.5,480,457.9,471.55,467.98,26573,919,12435550,6829,25.7,22.1,-6.95
15-05-2019,480.55,489,471.15,475.5,481.22,22178,819,10672396,6220,28.05,17.85,-5.05
14-05-2019,468.2,479,447.6,473.15,461.67,32091,1383,14815610,6071,18.92,31.4,4.95
13-05-2019,489.7,503.05,464.65,468.2,487.68,43662,1840,21293043,9381,21.49,38.4,-21.5
10-05-2019,469.65,484.95,460.85,484.95,476.66,36375,1280,17338608,9606,26.41,24.1,15.3
09-05-2019,454.7,469.25,453.15,461.9,461.94,22153,782,10233302,6654,30.04,16.1,7.2
08-05-2019,479.4,479.4,455.45,456.75,464.58,26408,916,12268587,6531,24.73,23.95,-22.65
07-05-2019,472,484.75,472,479.4,483.15,54963,1201,26555466,8539,15.54,12.75,7.4
06-05-2019,476.9,476.9,456,461.7,463.65,25744,943,11936109,6616,25.7,20.9,-15.2
03-05-2019,491.15,513,472.05,479.85,485.87,47457,2102,23057846,12152,25.61,40.95,-11.3
02-05-2019,540.35,540.35,494.45,502.9,513.72,25438,1056,13068049,9341,36.72,45.9,-37.45
30-04-2019,580.85,582.15,535.05,540.35,548.31,26473,990,14515391,9096,34.36,47.1,-40.5
26-04-2019,611,613.2,584.3,586.55,594.22,25184,922,14964732,8738,34.7,28.9,-24.45
25-04-2019,617.05,623.4,605,606.7,613.32,17921,662,10991246,7320,40.85,18.4,-10.35
24-04-2019,604.5,633.2,604.5,613.8,614.9,13727,578,8440771,2900,21.13,28.7,9.3
23-04-2019,630,636.75,603,616.05,620.06,43583,1559,27024174,15914,36.51,33.75,-13.95
22-04-2019,643,643.45,624,630.3,635.38,7810,344,4962327,2944,37.7,19.45,-12.7
