Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2018-06-25,79.95,79.95,76.25,76.8,78.06,66818.0,111.0,5216079.0,63206.0,94.59,3.7,-3.15
2018-06-22,79.15,79.25,77.3,78.55,78.02,4396.0,80.0,342971.0,1246.0,28.34,1.95,-0.6
2018-06-21,78.15,79.35,77.35,77.7,78.46,2821.0,53.0,221326.0,1550.0,54.95,2.0,-0.45
2018-06-20,77.1,79.0,76.8,78.1,78.2,13095.0,168.0,1024093.0,6602.0,50.42,2.2,1.0
2018-06-19,75.4,78.05,74.45,77.6,75.67,24871.0,310.0,1882084.0,9640.0,38.76,3.6,2.2
2018-06-18,78.55,78.55,76.5,77.0,77.17,11767.0,136.0,908111.0,10033.0,85.26,2.05,-1.55
2018-06-15,79.9,80.25,77.8,78.15,79.02,16590.0,155.0,1310947.0,8683.0,52.34,2.45,-1.75
2018-06-14,81.3,81.35,79.6,79.7,79.99,20616.0,102.0,1649154.0,16688.0,80.95,1.75,-1.6
2018-06-13,83.0,84.1,80.7,81.05,82.32,6469.0,127.0,532510.0,3062.0,47.33,3.4,-1.95
2018-06-12,82.05,83.5,82.05,82.95,82.78,19950.0,153.0,1651440.0,16505.0,82.73,1.45,0.9
2018-06-11,83.4,84.6,82.5,82.6,83.1,15603.0,102.0,1296623.0,12963.0,83.08,2.1,-0.8
2018-06-08,82.15,84.25,82.0,83.85,83.57,7769.0,76.0,649239.0,5580.0,71.82,2.25,1.7
2018-06-07,79.5,84.2,79.5,82.05,82.5,16474.0,220.0,1359046.0,7949.0,48.25,4.7,2.55
2018-06-06,78.25,81.7,78.25,79.75,80.12,5204.0,135.0,416965.0,3541.0,68.04,3.45,1.5
2018-06-05,80.35,80.4,77.75,77.95,78.98,31603.0,321.0,2496046.0,15897.0,50.3,2.65,-2.4
2018-06-04,82.0,82.95,78.2,80.75,80.78,4407.0,84.0,355994.0,2387.0,54.16,4.75,-1.25
2018-06-01,84.1,84.35,80.8,82.2,83.0,14218.0,206.0,1180088.0,6936.0,48.78,3.55,-1.9
2018-05-31,84.15,84.75,83.15,84.45,84.14,25334.0,240.0,2131610.0,20248.0,79.92,1.6,0.3
2018-05-30,85.0,85.9,82.9,84.45,84.57,30395.0,589.0,2570382.0,10435.0,34.33,3.0,-0.55
